"treatment","plot","species","total.live.stem.carbon"
"A","3","Morus alba",0.0868295889702835
"A","1","Morus alba",0
"A","2","Morus alba",0
"A","3","Ulmus americana",0.00147848538704121
"A","1","Ulmus americana",0
"A","2","Ulmus americana",0
"A","3","Zanthoxylum americanum",0.00166794072735274
"A","1","Zanthoxylum americanum",0
"A","2","Zanthoxylum americanum",0
"A","3","Acer saccharinum",0
"A","1","Acer saccharinum",0
"A","2","Acer saccharinum",0
"A","3","Salix interior",0
"A","1","Salix interior",0
"A","2","Salix interior",0
"A","3","Salix nigra",0
"A","1","Salix nigra",0
"A","2","Salix nigra",0
"B","1","Morus alba",0.0355211954878432
"B","2","Morus alba",0
"B","3","Morus alba",0
"B","1","Ulmus americana",0
"B","2","Ulmus americana",0
"B","3","Ulmus americana",0
"B","1","Zanthoxylum americanum",0
"B","2","Zanthoxylum americanum",0
"B","3","Zanthoxylum americanum",0
"B","1","Acer saccharinum",0
"B","2","Acer saccharinum",0
"B","3","Acer saccharinum",0
"B","1","Salix interior",0
"B","2","Salix interior",0
"B","3","Salix interior",0
"B","1","Salix nigra",0
"B","2","Salix nigra",0
"B","3","Salix nigra",0
"C","2","Morus alba",0.0177605977439216
"C","3","Morus alba",0
"C","1","Morus alba",0
"C","2","Ulmus americana",0.00147848538704121
"C","3","Ulmus americana",0
"C","1","Ulmus americana",0
"C","2","Zanthoxylum americanum",0
"C","3","Zanthoxylum americanum",0
"C","1","Zanthoxylum americanum",0
"C","2","Acer saccharinum",0
"C","3","Acer saccharinum",0.00141914235428035
"C","1","Acer saccharinum",0
"C","2","Salix interior",0
"C","3","Salix interior",0
"C","1","Salix interior",0
"C","2","Salix nigra",0
"C","3","Salix nigra",0
"C","1","Salix nigra",0
"D","1","Morus alba",0
"D","2","Morus alba",0
"D","3","Morus alba",0
"D","1","Ulmus americana",0
"D","2","Ulmus americana",0
"D","3","Ulmus americana",0
"D","1","Zanthoxylum americanum",0
"D","2","Zanthoxylum americanum",0
"D","3","Zanthoxylum americanum",0
"D","1","Acer saccharinum",0
"D","2","Acer saccharinum",0
"D","3","Acer saccharinum",0
"D","1","Salix interior",0.00614774055217559
"D","2","Salix interior",0
"D","3","Salix interior",0
"D","1","Salix nigra",0
"D","2","Salix nigra",0
"D","3","Salix nigra",0
"E","1","Morus alba",0
"E","2","Morus alba",0.0335477957385186
"E","3","Morus alba",0
"E","1","Ulmus americana",0
"E","2","Ulmus americana",0
"E","3","Ulmus americana",0
"E","1","Zanthoxylum americanum",0
"E","2","Zanthoxylum americanum",0
"E","3","Zanthoxylum americanum",0
"E","1","Acer saccharinum",0
"E","2","Acer saccharinum",0
"E","3","Acer saccharinum",0
"E","1","Salix interior",0.101437719110897
"E","2","Salix interior",0
"E","3","Salix interior",0.0143447279550764
"E","1","Salix nigra",0
"E","2","Salix nigra",0
"E","3","Salix nigra",0.0030738702760878
"R","1","Morus alba",0
"R","2","Morus alba",0
"R","3","Morus alba",0
"R","1","Ulmus americana",0
"R","2","Ulmus americana",0
"R","3","Ulmus americana",0
"R","1","Zanthoxylum americanum",0
"R","2","Zanthoxylum americanum",0
"R","3","Zanthoxylum americanum",0
"R","1","Acer saccharinum",0
"R","2","Acer saccharinum",0
"R","3","Acer saccharinum",0
"R","1","Salix interior",0
"R","2","Salix interior",0
"R","3","Salix interior",0
"R","1","Salix nigra",0
"R","2","Salix nigra",0
"R","3","Salix nigra",0
